chrom	arm	length
1	p	125000000
1	q	124250621
10	p	40200000
10	q	95334747
11	p	53700000
11	q	81306516
12	p	35800000
12	q	98051895
13	p	17900000
13	q	97269878
14	p	17600000
14	q	89749540
15	p	19000000
15	q	83531392
16	p	36600000
16	q	53754753
17	p	24000000
17	q	57195210
18	p	17200000
18	q	60877248
19	p	26500000
19	q	32628983
2	p	93300000
2	q	149899373
20	p	27500000
20	q	35525520
21	p	13200000
21	q	34929895
22	p	14700000
22	q	36604566
3	p	91000000
3	q	107022430
4	p	50400000
4	q	140754276
5	p	48400000
5	q	132515260
6	p	61000000
6	q	110115067
7	p	59900000
7	q	99238663
8	p	45600000
8	q	100764022
9	p	49000000
9	q	92213431
X	p	60600000
X	q	94670560
Y	p	12500000
Y	q	46873566
